cue,R1,R1.Strength
way,path,0.19
month,moon,0.02
part,piece,0.121212121212121
father,dad,0.26
office,chair,0.02
area,maths,0.0202020202020202
money,coins,0.02
force,police,0.0202020202020202
morning,sun,0.0404040404040404
mother,other,0.01
head,ache,0.0510204081632653
family,vacation,0.01
number,letter,0.0606060606060606
company,acquire,0.01
line,forgo,0.01
place,put,0.0612244897959184
party,politics,0.04
case,brief,0.05
girl,female,0.08
door,close,0.03
face,intimate,0.01
life,love,0.0412371134020619
member,penis,0.06
end,over,0.04
service,military,0.05
work,play,0.222222222222222
country,land,0.07
city,suburb,0.01
word,,
back,front,0.292929292929293
night,velvet,0.01
law,police,0.0505050505050505
right,left,0.25
idea,thought,0.393939393939394
house,live,0.03
week,seven days,0.14
minute,detail,0.01
game,over,0.02
kid,gloves,0.0404040404040404
hour,,
time,zone,0.0101010101010101
name,tag,0.0510204081632653
question,how meany,0.0101010101010101
hand,at,0.01
hour,wolf,0.0101010101010101
kind,nice,0.21
job,career,0.0408163265306122
side,sunny,0.0103092783505155
change,vital,0.01
problem,solved,0.0404040404040404
eye,lid,0.02
eye,opener,0.01
kid,love,0.0202020202020202
morning,alone,0.0101010101010101
power,of one,0.01
result,good,0.0303030303030303
level,even,0.18
history,repeats,0.03
reason,being,0.01
idea,bright,0.0404040404040404
student,me,0.03
people,humans,0.08
health,well-being,0.01
life,vest,0.0103092783505155
study,erudite,0.01
service,self,0.01
point,me,0.01
month,period,0.01
state,new,0.0101010101010101
head,shoulders,0.0612244897959184
week,today,0.02
year,2000,0.01
game,boy,0.02
thing,green,0.0102040816326531
money,bear,0.01
law,court,0.0101010101010101
hand,by,0.01
end,the,0.05
air,lift,0.02
country,my,0.01
system,shock,0.0101010101010101
place,where,0.0306122448979592
team,sport,0.08
war,angst,0.01
work,drudgery,0.0101010101010101
name,Colleen,0.0102040816326531
area,geometry,0.0101010101010101
case,closure,0.01
minute,second,0.19
night,evening,0.12
fact,fiction,0.255102040816327
moment,in a,0.01
member,politics,0.01
girl,boy,0.47
side,sideways,0.0309278350515464
change,good,0.03
back,forth,0.111111111111111
time,flies,0.0606060606060606
word,saying,0.0103092783505155
word,sentence,0.0721649484536082
time,ticking,0.0101010101010101
name,loud,0.0102040816326531
water,aqua,0.0303030303030303
law,books,0.0101010101010101
reason,why,0.16
head,bed,0.0102040816326531
force,field,0.111111111111111
level,stage,0.03
way,down,0.02
group,coupon,0.01
team,win,0.02
war,violence,0.05
end,finish,0.23
area,space,0.181818181818182
guy,dude,0.04
minute,small,0.1
day,one,0.02
community,church,0.04
power,strength,0.08
hand,finger,0.08
school,high,0.03
thing,wild,0.0102040816326531
week,Monday,0.02
problem,solver,0.0202020202020202
service,help,0.12
story,key,0.01
result,test,0.121212121212121
book,Harry Potter,0.01
friend,Rachel,0.01
health,wealth,0.11
company,friends,0.11
night,dark,0.2
lot,acreage,0.02
person,or persons,0.0102040816326531
question,answer,0.424242424242424
parent,caregiver,0.01
face,off,0.05
air,plane,0.04
party,whip,0.01
right,wrong,0.35
change,coins,0.13
hour,long,0.0505050505050505
eye,lashes,0.01
room,cozy,0.0202020202020202
game,board,0.04
country,pride,0.01
morning,application,0.0101010101010101
part,whole,0.0808080808080808
number,addition,0.0101010101010101
art,paint,0.07
moment,second,0.05
state,America,0.0202020202020202
body,heart,0.01
morning,good,0.0808080808080808
door,closed,0.02
health,good,0.12
force,Jedi,0.0303030303030303
way,street,0.03
book,novel,0.02
room,space,0.202020202020202
game,play,0.31
car,truck,0.05
law,lawyer,0.0909090909090909
week,seven,0.07
party,animal,0.07
hand,handsome,0.01
world,globe,0.21
child,baby,0.14
kid,rock,0.0101010101010101
study,journal,0.01
side,building,0.0103092783505155
