cue,R1,R1.Strength
way,path,0.19
part,piece,0.121212121212121
father,dad,0.26
head,ache,0.0510204081632653
number,letter,0.0606060606060606
place,put,0.0612244897959184
case,brief,0.05
girl,female,0.08
member,penis,0.06
service,military,0.05
work,play,0.222222222222222
country,land,0.07
back,front,0.292929292929293
law,police,0.0505050505050505
right,left,0.25
idea,thought,0.393939393939394
week,seven days,0.14
name,tag,0.0510204081632653
kind,nice,0.21
level,even,0.18
people,humans,0.08
head,shoulders,0.0612244897959184
end,the,0.05
team,sport,0.08
minute,second,0.19
night,evening,0.12
fact,fiction,0.255102040816327
girl,boy,0.47
back,forth,0.111111111111111
time,flies,0.0606060606060606
word,sentence,0.0721649484536082
reason,why,0.16
force,field,0.111111111111111
war,violence,0.05
end,finish,0.23
area,space,0.181818181818182
minute,small,0.1
power,strength,0.08
hand,finger,0.08
service,help,0.12
result,test,0.121212121212121
health,wealth,0.11
company,friends,0.11
night,dark,0.2
question,answer,0.424242424242424
face,off,0.05
right,wrong,0.35
change,coins,0.13
hour,long,0.0505050505050505
part,whole,0.0808080808080808
art,paint,0.07
moment,second,0.05
morning,good,0.0808080808080808
health,good,0.12
room,space,0.202020202020202
game,play,0.31
car,truck,0.05
law,lawyer,0.0909090909090909
week,seven,0.07
party,animal,0.07
world,globe,0.21
child,baby,0.14
fact,truth,0.153061224489796
issue,magazine,0.14
art,beauty,0.06
area,square,0.0606060606060606
war,death,0.07
number,one,0.202020202020202
part,hair,0.101010101010101
face,visage,0.07
water,drink,0.0909090909090909
hour,glass,0.0606060606060606
word,association,0.0927835051546392
air,breathe,0.29
night,owl,0.05
book,read,0.42
point,sharp,0.07
parent,mum,0.05
case,suitcase,0.05
health,wellbeing,0.08
city,town,0.31
mother,mom,0.12
woman,female,0.22
study,books,0.08
family,friends,0.12
reason,think,0.07
way,road,0.11
kind,generous,0.05
city,New York,0.05
story,tale,0.3
idea,concept,0.0505050505050505
door,open,0.19
year,age,0.07
lot,many,0.09
history,past,0.22
law,order,0.131313131313131
money,green,0.08
friend,best,0.05
eye,ball,0.2
body,parts,0.05
time,clock,0.212121212121212
