cue,R1
way,path
part,piece
child,mother
state,country
year,time
family,vacation
day,night
company,acquire
place,put
woman,man
case,brief
life,love
country,land
week,seven days
time,zone
hand,at
problem,solved
student,me
people,humans
life,vest
state,new
week,today
year,2000
thing,green
hand,by
country,my
system,shock
school,education
place,where
child,parent
woman,man
case,closure
time,flies
time,ticking
way,down
people,group
life,kind
group,coupon
woman,girl
case,study
day,one
hand,finger
school,high
thing,wild
week,Monday
year,day
problem,solver
company,friends
country,pride
part,whole
state,America
place,area
way,street
school,day
case,study
week,seven
day,night
hand,handsome
world,globe
child,baby
year,of
company,friend
man,boy
problem,challenge
student,teacher
woman,man
thing,it
part,hair
system,nerves
country,land
state,police
company,visitors
part,slice
day,night
child,baby
hand,made
country,Australia
time,table
state,mind
school,kids
way,far a
case,suitcase
man,woman
world,government
thing,dealing
woman,female
week,end
family,friends
system,set up
way,road
life,fulfillment
time,timetable
family,want
country,city
school,home
year,age
company,family
day,week
child,baby
group,out group
part,heart
case,brief
problem,no
world,green
week,day
man,strong
time,clock
way,no
problem,dilemma
people,culture
thing,person
day,night
man,male
world,earth
place,time
year,month
part,slice
country,Australia
life,question
woman,girl
week,day
state,territory
child,adolescent
school,circle
company,friends
system,manager
group,crowd
student,teacher
family,friends
part,half
student,teacher
group,team
world,view
life,long
country,state
place,park
school,child
case,closed
time,lose
problem,class
system,systematic
child,kid
state,union
family,care
man,woman
people,friends
hand,shake
week,meek
way,direction
year,birthday
day,week
student,me
place,people
school,fun
group,fun
world,war
problem,student
state,union
child,mine
system,of
day,night
company,alone
way,right
woman,wife
people,life
case,books
week,day
life,death
part,belong
time,is on my side
country,native
family,community
thing,is
way,path
company,job
child,boy
place,locale
people,person
week,end
school,room
group,team
hand,mouth
system,machine
problem,solution
country,tis
state,country
thing,action
day,year
year,month
family,home
case,upper
man,male
time,tide
woman,man
people,watching
group,not alone
student,debt
thing,one
company,guests
place,stable
year,annual
country,field
way,foot
state,jay-z
hand,work
hand,left
day,light
school,teacher
child,baby
case,law
system,method
week,day
time,clock
problem,solution
life,death
man,woman
part,section
world,planet
family,parents
place,home
man,yes
system,organization
family,love
part,body
world,round
state,affairs
way,out
life,death
week,seven days
people,nations
child,infant
case,brief
day,time
country,nationality
student,study
company,money
time,game
student,eat
hand,arm
place,name
time,early
people,person
way,road
life,death
problem,conundrum
case,suitcase
thing,object
week,day
day,night
man,woman
country,rural
company,friends
company,good
child,baby
system,body
part,one
school,elementary
part,whole
woman,figure
woman,man
state,representative
state,country
group,study
year,week
world,war
group,policy
place,location
student,me
time,sand
case,need
way,path
thing,place
system,earth
week,day
family,home
man,is
people,places
year,time
school,class
day,night
problem,challenge
hand,left
country,USA
life,death
child,mother
family,home
state,empire
group,friends
problem,question
people,magazine
hand,foot
system,builder
country,America
life,vibrant
year,century
case,based
world,globe
time,clock
school,field trip
day,night
thing,anything
student,teacher
part,hair
place,house
part,hair
place,Chicago
company,friends
way,road
woman,man
child,kid
man,woman
problem,solution
day,night
week,one
year,month
life,game
time,casual
case,backup
student,academic
people,animals
system,computer
school,read
thing,object
company,corporation
family,Christmas
country,nation
hand,shake
group,alone
world,globe
group,gang
state,flag
child,julianna
child,children
country,origin
family,time
company,friend
place,time
part,incomplete
man,woman
people,suck
hand,glove
thing,pen
world,everything
state,country
case,legal
problem,solve
way,more
life,game
time,management
school,learning
year,calendar
day,night
woman,man
week,day
system,protest
thing,ring
people,person
state,South Carolina
time,clock
company,good
year,decade
life,biology
man,woman
way,road
woman,person
part,play
school,yard
hand,price
place,placate
case,study
child,kid
day,today
student,teacher
world,small
family,tree
country,code
problem,solution
country,music
problem,solution
way,Jesus
week,seven days
hand,finger
state,sovereign
child,protect
company,good
people,husband
part,some
part,pink
man,human
system,management
school,books
school,Valerie
group,picture
time,rush
place,New York
world,view
case,pack
student,school
student,English
student,teacher
year,2011
day,night
week,day
time,money
group,people
country,United States
case,grammar
man,woman
people,persons
company,hosting
woman,man
woman,man
hand,fingers
year,2011
way,cool
system,role
state,united
problem,solution
place,here
life,experience
family,love
life,loving it
people,men
place,home
group,sex
time,watch
hand,write
man,woman
week,seven days
school,work
world,wide
system,spontaneous
country,Australia
family,wife
way,which
year,off
problem,child
child,baby
case,trip
case,file
thing,stuff
thing,object
thing,item
thing,every
place,put
group,collection
problem,difficulty
company,corporation
woman,man
time,watch
school,work
way,whey
man,fire
people,human
life,birth
world,earth
state,emergency
day,night
child,hat
student,learner
week,day
hand,to mouth
part,parcel
country,city
way,court
people,person
week,day
school,education
world,globe
family,love
day,light
time,clock
company,man
problem,oops
state,awareness
part,of a whole
case,law
hand,foot
woman,man
group,study
child,young
system,plan
student,youngster
day,time
school,teach
week,day
case,of beer
group,many
system,change
family,friends
year,calendar
place,here
problem,challenge
woman,her
state,smash
people,places
life,living
child,hood
hand,give
part,of
country,Canada
company,work
time,minutes
country,Canada
student,study
year,1980
company,good
thing,noun
group,friends
woman,beauty
child,adolescent
case,container
people,human
part,two
system,of a down
state,colony
school,learn
problem,issue
place,space
life,fly
hand,help
family,child
week,day
world,globe
man,human
day,night
state,country
way,one
school,sleep
country,road
family,love
problem,math
year,x
thing,item
case,study
hand,hold
child,parent
part,half
woman,wily
time,off
place,here
man,woman
group,groupon
student,young
day,light
people,peeps
world,globe
system,error
system,analysis
week,days
hand,give
week,Monday
place,person
place,town
family,friends
man,women
time,watch
day,night
thing,monster
people,happiness
woman,kind
world,geography
country,USA
school,college
student,young
year,Lear
state,late
company,keep
case,square
problem,solve
part,
child,parent
group,alone
part,piece
state,country
year,365
people,persons
school,homework
life,game
case,study
system,computer
week,end
way,wheat
man,penis
company,business
day,one
thing,slim
family,love
problem,trouble
hand,hold
world,news
student,hardworking
man,woman
case,brief
student,organization
day,today
family,home
world,ball
hand,fingernails
part,whole
place,destination
system,computer
people,world
woman,man
problem,difficult
state,nation
group,work
life,death
thing,some
child,kid
time,clock
week,time
country,state
company,companion
year,day
year,abuse
way,say
case,brief
week,day
system,of a down
hand,thumb
state,chemistry
part,of my life
day,morning
country,state
family,friends
child,baby
life,good
student,school
man,woman
world,wide
thing,one
time,procrastination
school,learn
people,lonely
problem,issue
group,number
man,woman
people,person
day,night
problem,solve
state,of being
school,education
time,out
thing,many
student,master
company,you keep
year,one
hand,washing
life,alive
part,time
place,holder
country,nation
group,collection
system,failure
child,kid
family,mum
way,home
woman,female
world,globe
case,study
week,month
state,nanny
woman,fair
system,oppression
hand,glove
problem,solution
world,small
year,days
company,business
time,clock
thing,the
student,male
group,insurance
way,up top
people,man
part,piece
week,day
life,42
man,woman
child,care
case,study
day,night
place,filled
school,work
country,USA
school,fun
day,sun
week,day
man,woman
thing,other
place,location
people,friends
year,Tory
hand,over
system,computer
world,oyster
problem,issue
woman,strong
way,road
case,upper
student,studying
state,American state
part,ways
family,problems
group,setting
company,group
time,clock
people,men
hand,finger
group,gang
country,England
case,tick
way,route
day,night
year,day
company,stocks
woman,girl
problem,solve
world,earth
state,quo
state,situation
family,kin
family,friends
student,learning
life,time
child,welfare
system,administrator
people,friends
way,path
week,end
part,split
thing,stuff
year,leap year
year,annual
group,together
woman,man
world,earth
hand,maiden
problem,solution
case,legal
case,explanation
case,study
day,night
man,woman
man,woman
student,teacher
family,love
hand,held
time,prompt
country,England
life,love
woman,skirt
day,night
problem,Quandary
people,people person
week,weekly
company,friends
part,company
system,failure
place,position
school,class
school,class
time,passes
student,party
man,woman
life,breath
part,party
hand,eye
place,home
woman,man
world,study
child,baby
country,place
system,analyst
thing,that
year,yearly
problem,difficult
day,night
way,go
company,association
family,mother
state,of mind
week,time
people,crowd
state,digital switch
time,hour
problem,discussion
way,no
life,energy
student,teacher
group,identity
country,rural
world,earth
people,persons
day,light
week,day
thing,object
case,beer
hand,eye
man,love
place,over
family,love
system,equation
company,business
company,corporation
woman,man
people,an anime show
world,earth
week,weak
life,live
group,friends
place,person
child,cry
student,school
state,nation
case,load
way,path
country,field
thing,a-me-bob
part,section
woman,girl
