cue,R1,R1.Strength,source,target
way,path,0.19,,
part,piece,0.121212121212121,,
day,night,0.48,,
place,put,0.0612244897959184,,
case,brief,0.05,,
country,land,0.07,,
week,seven days,0.14,,
people,humans,0.08,,
school,education,0.09,,
child,parent,0.06,,
time,flies,0.0606060606060606,,
woman,girl,0.07,,
case,study,0.23,,
hand,finger,0.08,,
company,friends,0.11,,
part,whole,0.0808080808080808,,
week,seven,0.07,,
world,globe,0.21,,
child,baby,0.14,,
student,teacher,0.14,,
part,hair,0.101010101010101,,
case,suitcase,0.05,,
woman,female,0.22,,
week,end,0.05,,
family,friends,0.12,,
way,road,0.11,,
year,age,0.07,,
time,clock,0.212121212121212,,
man,male,0.0606060606060606,,
world,earth,0.21,,
year,month,0.07,,
world,view,0.07,,
child,kid,0.13,,
people,friends,0.05,,
world,war,0.07,,
life,death,0.247422680412371,,
people,person,0.11,,
problem,solution,0.181818181818182,,
year,annual,0.07,,
hand,left,0.07,,
day,light,0.12,,
part,section,0.0909090909090909,,
place,home,0.183673469387755,,
system,organization,0.111111111111111,,
family,love,0.12,,
way,out,0.05,,
thing,object,0.204081632653061,,
place,location,0.122448979591837,,
country,USA,0.06,,
group,friends,0.05,,
problem,question,0.0505050505050505,,
hand,foot,0.09,,
system,computer,0.111111111111111,,
company,corporation,0.09,,
country,nation,0.08,,
problem,solve,0.111111111111111,,
day,today,0.05,,
man,human,0.0505050505050505,,
people,persons,0.07,,
hand,fingers,0.06,,
place,here,0.0510204081632653,,
time,watch,0.0606060606060606,,
school,work,0.05,,
case,file,0.05,,
thing,item,0.142857142857143,,
problem,difficulty,0.0505050505050505,,
student,learner,0.15,,
school,learn,0.07,,
problem,issue,0.0606060606060606,,
company,business,0.11,,
state,nation,0.0707070707070707,,
week,month,0.06,,
way,route,0.08,,
family,mother,0.05,,
people,crowd,0.05,,
time,hour,0.0707070707070707,,
state,say,0.0808080808080808,,
woman,lady,0.05,,
case,box,0.07,,
week,work,0.08,,
student,learn,0.05,,
student,pupil,0.06,,
group,association,0.05,,
school,days,0.06,,
ROOT,time,2.0,,
ROOT,year,2.0,,
ROOT,people,2.0,,
ROOT,way,2.0,,
ROOT,day,2.0,,
ROOT,man,2.0,,
ROOT,thing,2.0,,
ROOT,woman,2.0,,
ROOT,life,2.0,,
ROOT,child,2.0,,
ROOT,world,2.0,,
ROOT,school,2.0,,
ROOT,state,2.0,,
ROOT,family,2.0,,
ROOT,student,2.0,,
ROOT,group,2.0,,
ROOT,country,2.0,,
ROOT,problem,2.0,,
ROOT,hand,2.0,,
ROOT,part,2.0,,
ROOT,place,2.0,,
ROOT,case,2.0,,
ROOT,week,2.0,,
ROOT,company,2.0,,
ROOT,system,2.0,,
